id,text,author,category
47,"성공의 많은 부분은 피해야 할 것이 무엇인지 아는 것에서 온다.","찰리 멍거","mindset"
48,"평생 배우는 자세를 유지한다면 다른 사람들보다 엄청난 이점을 갖게 된다.","찰리 멍거","mindset"
49,"현명한 투자는 단순하다. 복잡하게 만드는 것은 어리석음의 표시다.","찰리 멍거","investing"
50,"나는 죽을 곳만 알면 된다. 그곳에는 절대 가지 않을 테니.","찰리 멍거","risk"
51,"하루에 몇 시간씩 앉아서 생각만 하는 시간이 필요하다.","찰리 멍거","mindset"
52,"천재일 필요는 없다. 그냥 평균보다 조금만 더 현명하면 된다.","찰리 멍거","mindset"
53,"규율 없이는 어떤 방법도 효과가 없다.","찰리 멍거","mindset"
54,"자신이 아는 것에 투자하라.","피터 린치","investing"
55,"당신이 자주 가는 가게의 주식을 사라.","피터 린치","investing"
56,"승리하는 주식을 계속 보유하고 패배하는 주식을 빨리 팔아라. 꽃에 물을 주고 잡초를 뽑아야 한다.","피터 린치","investing"
57,"투자에서 핵심 기관은 뇌가 아니라 위장이다.","피터 린치","mindset"
58,"주식 시장은 모든 것의 가격을 알지만 아무것의 가치도 모르는 사람들로 가득하다.","피터 린치","value"
59,"침체기가 오고 주식 시장이 하락한다. 이를 이해하지 못한다면 시장에서 잘할 수 없다.","피터 린치","mindset"
60,"5학년 수학만 할 수 있다면 주식 시장을 이해할 수 있다.","피터 린치","mindset"
61,"어떤 기업에 투자할 생각이라면 초등학생도 이해할 수 있게 설명할 수 있어야 한다.","피터 린치","investing"
62,"좋은 기업은 결국 좋은 주식이 된다.","피터 린치","value"
63,"돌을 가장 많이 뒤집는 사람이 게임에서 이긴다.","피터 린치","investing"
64,"장기투자는 시장의 단기 변동성을 극복한다.","피터 린치","investing"
65,"투자에서 성공은 남들이 모를 때 아는 것이다.","피터 린치","investing"
66,"올바른 투자는 옳은 시기에 올바른 기업을 갖는 것이다.","피터 린치","investing"
67,"불황은 끝이 나고 주가는 회복된다. 역사가 증명한다.","피터 린치","mindset"
68,"훌륭한 기업의 주식은 오래 보유할수록 수익이 커진다.","피터 린치","investing"
69,"두려울 때 사고 기쁠 때 팔아라.","조지 소로스","investing"
70,"손실을 줄이고 이익을 키워라.","조지 소로스","trading"
71,"내가 부유한 이유는 내가 틀렸을 때를 알기 때문이다.","조지 소로스","mindset"
72,"시장은 항상 어느 방향으로 편향되어 있다.","조지 소로스","investing"
73,"틀렸을 때 빨리 인정하는 것이 가장 중요하다.","조지 소로스","mindset"
74,"금융시장은 기본적으로 예측할 수 없다.","조지 소로스","investing"
75,"인간의 불완전한 이해를 받아들이면 틀렸음을 인정하는 것이 부끄럽지 않다.","조지 소로스","mindset"
76,"시장에는 항상 기회가 있다. 문제는 그것을 찾을 수 있느냐다.","조지 소로스","investing"
77,"옳고 그름이 중요한 것이 아니라, 옳을 때 얼마를 버느냐와 틀렸을 때 얼마를 잃느냐가 중요하다.","조지 소로스","trading"
78,"주식 시장에는 오직 한쪽만 있다. 강세도 약세도 아닌 올바른 쪽이다.","제시 리버모어","trading"
79,"큰 돈은 생각에서가 아니라 앉아서 기다리는 것에서 나온다.","제시 리버모어","investing"
80,"모든 투자에서 실패의 원인은 참을 수 없는 손실을 참는 것이다.","제시 리버모어","risk"
81,"월스트리트는 결코 변하지 않는다. 주머니가 바뀌고, 봉이 바뀌고, 주식이 바뀌지만 월스트리트는 변하지 않는다.","제시 리버모어","mindset"
82,"모든 조건이 유리할 때만 시장에 참여하라.","제시 리버모어","trading"
83,"시장은 틀리지 않는다. 의견이 틀리는 것이다.","제시 리버모어","mindset"
84,"손실을 보고 나면 잊는다. 하지만 손실을 보지 않고 버티는 것이 진짜 해악이다.","제시 리버모어","risk"
85,"내 가장 나쁜 적은 다름 아닌 나 자신이었다.","제시 리버모어","mindset"
86,"매매의 기술은 언제 청산할지를 아는 것이다.","제시 리버모어","trading"
87,"최고의 매수 시점은 피가 거리에 흐를 때다.","네이선 로스차일드","investing"
88,"가장 위험한 말은 '이번에는 다르다'이다.","존 템플턴","mindset"
89,"강세장은 비관론 속에서 태어나고, 회의론 속에서 성장하며, 낙관론 속에서 성숙하고, 행복감 속에서 죽는다.","존 템플턴","investing"
90,"최대 비관주의 시점이 최적의 매수 시점이다.","존 템플턴","investing"
91,"다른 사람이 파는 것을 사고, 다른 사람이 사는 것을 파는 데는 엄청난 배짱이 필요하다.","존 템플턴","investing"
92,"투자할 최적의 시점은 돈이 있을 때다.","존 템플턴","investing"
93,"글로벌 분산투자는 모든 리스크를 줄이는 가장 확실한 방법이다.","존 템플턴","investing"
94,"추세는 친구다.","에드 세이코타","trading"
95,"시장은 항상 옳다.","에드 세이코타","trading"
96,"리스크 관리가 트레이딩에서 가장 중요하다.","에드 세이코타","risk"
97,"모든 사람은 시장에서 자신이 원하는 것을 얻는다.","에드 세이코타","mindset"
98,"승자는 손실을 빠르게 자르고 수익을 키운다.","에드 세이코타","trading"
99,"고통 없이는 성장도 없다.","레이 달리오","mindset"
100,"원칙이 없으면 매번 처음부터 다시 시작하는 것과 같다.","레이 달리오","mindset"
101,"분산투자는 유일한 공짜 점심이다.","레이 달리오","investing"
102,"모든 전문가는 실수를 한다. 중요한 것은 실수에서 배우는 것이다.","레이 달리오","mindset"
103,"경제 기계를 이해하면 투자가 단순해진다.","레이 달리오","investing"
104,"나는 실패를 두려워하지 않는다. 배우지 못하는 것을 두려워한다.","레이 달리오","mindset"
105,"성공은 자신이 틀렸음을 받아들이는 능력에서 온다.","레이 달리오","mindset"
106,"좋은 의사결정을 위해서는 원칙이 필요하다.","레이 달리오","mindset"
107,"최고의 투자는 자신의 원칙을 세우는 것이다.","레이 달리오","mindset"
108,"허세를 부리지 마라. 최고는 항상 자신의 약점을 안다.","레이 달리오","mindset"
109,"가장 중요한 것은 자본을 지키는 것이다.","폴 튜더 존스","risk"
110,"나는 항상 돈을 버는 것보다 잃는 것을 먼저 생각한다.","폴 튜더 존스","risk"
111,"시장에서 살아남는 것이 이기는 것이다.","폴 튜더 존스","trading"
112,"영웅이 되려 하지 마라. 자아를 버려라. 항상 자신과 자신의 능력에 의문을 품어라.","폴 튜더 존스","mindset"
113,"트레이딩에서 가장 중요한 것은 공격이 아니라 방어다.","폴 튜더 존스","trading"
114,"하락하는 주식을 사지 마라.","폴 튜더 존스","trading"
115,"손실을 피하는 것이 수익을 내는 것보다 더 중요하다.","폴 튜더 존스","risk"
116,"건초 더미에서 바늘을 찾지 마라. 건초 더미 자체를 사라.","잭 보글","investing"
117,"비용이 낮은 인덱스 펀드가 장기적으로 최선의 투자다.","잭 보글","investing"
118,"시간은 당신의 친구이고, 충동은 당신의 적이다.","잭 보글","mindset"
119,"지불하지 않으면 얻는다.","잭 보글","investing"
120,"감정과 비용, 이 두 가지가 투자자의 가장 큰 적이다.","잭 보글","mindset"
121,"단순한 분산투자가 복잡한 전략보다 효과적이다.","잭 보글","investing"
122,"가장 중요한 것은 살아남는 것이다.","하워드 막스","risk"
123,"리스크는 더 많은 것이 일어날 수 있다는 것을 의미한다.","하워드 막스","risk"
124,"2단계 사고를 해야 한다.","하워드 막스","mindset"
125,"최고의 투자는 남들이 외면할 때 이루어진다.","하워드 막스","investing"
126,"불확실성을 받아들이는 것이 투자의 핵심이다.","하워드 막스","mindset"
127,"시장의 타이밍을 잡으려 하면 결국 망한다.","하워드 막스","investing"
128,"투자 주기의 어디에 있는지 아는 것이 가장 중요하다.","하워드 막스","investing"
129,"좋은 자산을 사는 것이 아니라 좋은 가격에 사는 것이다.","하워드 막스","value"
130,"안전 마진은 투자의 핵심 원칙이다.","세스 클라만","value"
131,"가치 투자자는 낮은 가격을 찾는 사냥꾼이다.","세스 클라만","value"
132,"시장이 틀릴 수 있다는 것을 인정하는 것이 중요하다.","세스 클라만","mindset"
133,"인기 없는 투자가 종종 가장 좋은 수익을 가져온다.","세스 클라만","investing"
134,"시장은 당신이 지불할 수 있는 것보다 더 오래 비합리적으로 유지될 수 있다.","존 메이너드 케인스","mindset"
135,"사실이 바뀌면 나는 생각을 바꾼다.","존 메이너드 케인스","mindset"
136,"장기적으로 우리는 모두 죽는다.","존 메이너드 케인스","mindset"
137,"정확히 틀리는 것보다 대략적으로 옳은 것이 낫다.","존 메이너드 케인스","mindset"
138,"동물적 본능이 투자자를 움직인다.","존 메이너드 케인스","mindset"
139,"주식을 사서 수면제를 먹고 자라.","앙드레 코스톨라니","investing"
140,"돈이 없는 자는 투기해야 하고, 돈이 있는 자는 투기해도 좋고, 돈이 많은 자는 투기할 필요가 없다.","앙드레 코스톨라니","investing"
141,"증권시장에서 확실한 것은 없다. 하지만 가능성은 있다.","앙드레 코스톨라니","investing"
142,"주식 시장에서 2+2는 절대 4가 되지 않는다.","앙드레 코스톨라니","mindset"
143,"투자와 투기의 차이는 투자 기간의 길이에 있다.","앙드레 코스톨라니","investing"
144,"대중이 사면 팔고, 대중이 팔면 사라.","앙드레 코스톨라니","investing"
145,"주가는 장기적으로 경제 상황을 반영한다.","앙드레 코스톨라니","investing"
146,"증권시장에서 돈을 잃어본 자만이 진정한 투자자가 될 수 있다.","앙드레 코스톨라니","mindset"
147,"시장은 인내하는 자의 것이다.","앙드레 코스톨라니","investing"
148,"좋은 기업의 주식을 사서 잊어버려라.","앙드레 코스톨라니","investing"
149,"금융 위기는 항상 반복된다. 그것이 기회다.","앙드레 코스톨라니","investing"
150,"자신이 좋아하는 기업의 제품을 쓴다면 그 기업의 주식을 사라.","필립 피셔","investing"
151,"좋은 기업을 찾는 가장 좋은 방법은 업계 사람들에게 묻는 것이다.","필립 피셔","investing"
152,"최고의 매도 시점은 거의 없다.","필립 피셔","investing"
153,"더 좋은 기업을 찾지 못했다면 팔지 마라.","필립 피셔","investing"
154,"탁월한 경영진이 있는 기업에 투자하라.","필립 피셔","investing"
155,"기업의 성장 가능성을 보고 투자하라.","필립 피셔","investing"
156,"소문으로 사고 뉴스로 팔지 마라.","증권가 격언","trading"
157,"강세장의 기억은 짧고, 약세장의 두려움은 길다.","월가 격언","mindset"
158,"싸게 사서 비싸게 팔아라.","투자 기본 원칙","trading"
159,"계란을 한 바구니에 담지 마라.","투자 격언","investing"
160,"트렌드는 당신의 친구다. 꺾일 때까지.","트레이더 격언","trading"
161,"좋은 기업의 주식을 비쌀 때 사는 것은 나쁜 기업의 주식을 쌀 때 사는 것보다 낫다.","투자 격언","value"
162,"손실을 방치하고 이익을 조기에 실현하는 것이 투자자의 가장 큰 실수다.","투자 격언","trading"
163,"주식 시장에서 당장의 고통보다 미래의 기회를 봐야 한다.","투자 격언","mindset"
164,"경기 침체는 싸게 살 수 있는 기회다.","투자 격언","investing"
165,"팔기 전에 반드시 이유를 확인하라.","투자 격언","investing"
166,"한 번에 모두 투자하지 마라. 분할 매수가 리스크를 줄인다.","투자 격언","risk"
167,"시장이 과열됐을 때가 가장 위험하다.","투자 격언","risk"
168,"주식 투자는 마라톤이지 단거리 달리기가 아니다.","투자 격언","investing"
169,"잘 모르면 분산투자가 답이다.","투자 격언","investing"
170,"시장의 소음을 무시하라. 장기 추세에 집중하라.","투자 격언","mindset"
171,"투자에서 겸손함은 최고의 미덕이다.","투자 격언","mindset"
172,"정보를 많이 가진 자가 시장을 이긴다.","투자 격언","investing"
173,"시장을 예측하는 자는 결국 패한다.","투자 격언","mindset"
174,"조급함은 투자의 최대 적이다.","투자 격언","mindset"
175,"수익보다 손실 방지가 우선이다.","투자 격언","risk"
176,"복리의 마법을 믿어라. 시간이 지나면 돈이 돈을 번다.","투자 격언","mindset"
177,"군중을 따르지 말고, 군중이 어디로 가는지 생각하라.","투자 격언","mindset"
178,"주가가 아닌 기업을 분석하라.","투자 격언","value"
179,"매수는 기술이고 매도는 예술이다.","트레이더 격언","trading"
180,"오늘의 고통이 내일의 수익이 된다.","투자 격언","mindset"
181,"리스크 없이는 수익도 없다. 하지만 리스크를 관리해야 한다.","투자 격언","risk"
182,"투자는 감정이 아닌 논리로 해야 한다.","투자 격언","mindset"
183,"성공한 투자자는 실패에서 배운다.","투자 격언","mindset"
184,"시장은 장기적으로 항상 오른다.","투자 격언","investing"
185,"최고의 기업은 10년 뒤에도 그 자리에 있을 기업이다.","투자 격언","investing"
186,"주식 투자는 미래의 가치를 현재 가격에 사는 행위다.","투자 격언","value"
187,"다음 위기는 항상 다르게 보이지만 본질은 같다.","투자 격언","mindset"
188,"현금도 포지션이다.","트레이더 격언","trading"
189,"추가 매수 전에 반드시 이유를 재검토하라.","투자 격언","investing"
190,"시장이 내 판단을 거부한다면, 시장이 옳을 가능성을 고려하라.","투자 격언","mindset"
191,"가격이 하락해도 기업의 가치는 변하지 않을 수 있다.","투자 격언","value"
192,"패닉 매도는 대부분 최악의 매도 시점이다.","투자 격언","trading"
193,"시장이 공포에 빠질 때 냉정한 투자자만이 기회를 잡는다.","투자 격언","investing"
194,"좋은 기업의 나쁜 시기는 기회다.","투자 격언","investing"
195,"투자는 예측이 아닌 확률의 게임이다.","투자 격언","mindset"
196,"장기적 관점을 잃지 마라.","투자 격언","mindset"
197,"주가 하락이 손실이 아니라 매수 기회일 수 있다.","투자 격언","investing"
198,"부자는 남들이 팔 때 사고, 남들이 살 때 판다.","투자 격언","investing"
199,"투자 아이디어는 많지 않아도 좋다. 단 하나의 확신 있는 아이디어가 중요하다.","투자 격언","investing"
200,"좋은 기업을 발견했다면 지금이 매수 시점이다.","투자 격언","investing"
201,"포트폴리오 다각화는 무지에 대한 보험이다.","투자 격언","investing"
202,"수익률보다 수익 지속성이 더 중요하다.","투자 격언","investing"
203,"가장 위험한 투자는 아무것도 하지 않는 것이다.","투자 격언","investing"
204,"주가는 단기에 감정을 반영하고 장기에 가치를 반영한다.","투자 격언","value"
205,"잘 모르는 분야에 투자하는 것은 도박이다.","투자 격언","risk"
206,"성공적인 투자자가 되려면 감정 통제가 먼저다.","투자 격언","mindset"
207,"10배 오를 종목보다 잃지 않을 종목을 찾아라.","투자 격언","risk"
208,"기업이 잘 되면 주가도 결국 따라온다.","투자 격언","value"
209,"투자자의 가장 큰 실수는 군중을 따르는 것이다.","투자 격언","mindset"
210,"시장의 방향을 모른다는 것을 인정하는 것이 출발점이다.","투자 격언","mindset"
211,"시장이 비합리적일 때 침착함을 유지하는 자가 이긴다.","투자 격언","mindset"
212,"집중 투자는 확신 있을 때만 해야 한다.","투자 격언","investing"
213,"우량주는 오래 보유할수록 빛을 발한다.","투자 격언","investing"
214,"10배 성장 기업을 찾는 것보다 잃지 않는 것이 더 중요하다.","투자 격언","risk"
215,"내가 이해하지 못하는 상품에는 투자하지 않는다.","투자 격언","investing"
216,"좋은 기업은 악재에도 회복된다.","투자 격언","investing"
217,"항상 최악의 시나리오를 준비하라.","투자 격언","risk"
218,"주식 투자는 기업의 가치를 발견하는 일이다.","투자 격언","value"
219,"저평가된 기업은 결국 시장에서 발견된다.","투자 격언","value"
220,"과거 수익률은 미래를 보장하지 않는다.","투자 격언","risk"
221,"용기 있는 자만이 큰 기회를 잡는다.","투자 격언","mindset"
222,"모든 것이 좋아 보일 때가 매도 신호다.","투자 격언","trading"
223,"공황 상태에서도 원칙을 지키는 투자자만이 살아남는다.","투자 격언","mindset"
224,"인내는 투자의 최고 미덕이다.","투자 격언","mindset"
225,"지식과 경험 없이 이루어지는 투자는 도박이다.","투자 격언","mindset"
226,"손절은 수치가 아니라 자산 보호다.","트레이더 격언","trading"
227,"시장은 감정이 없지만 투자자는 감정이 있다.","투자 격언","mindset"
228,"올바른 타이밍보다 올바른 선택이 더 중요하다.","투자 격언","investing"
229,"투자 원칙을 세우고 그 원칙에 따라 행동하라.","투자 격언","mindset"
230,"주식 시장에서 단기 예측은 어렵지만 장기 방향은 명확하다.","투자 격언","investing"
231,"성공하는 투자자는 시장을 이기려 하지 않고 좋은 기업을 찾는다.","투자 격언","investing"
232,"주가가 싸다고 좋은 투자가 되는 것은 아니다.","투자 격언","value"
233,"매수 이유가 사라지면 즉시 매도하라.","투자 격언","trading"
234,"탐욕이 생기면 한 발 물러서라.","투자 격언","mindset"
235,"시장에는 항상 불확실성이 존재한다. 그것을 받아들여라.","투자 격언","mindset"
236,"좋은 포트폴리오는 좋은 기업들로 구성된다.","투자 격언","investing"
237,"레버리지는 양날의 검이다. 사용 시 주의하라.","투자 격언","risk"
238,"작은 수익을 쌓는 것이 큰 손실 한 번보다 낫다.","투자 격언","trading"
239,"투자에서 중요한 것은 얼마나 자주 옳으냐가 아니라 옳을 때 얼마나 버느냐다.","투자 격언","trading"
240,"가격이 오를수록 리스크가 커진다.","투자 격언","risk"
241,"시장의 패닉이 기회를 만든다.","투자 격언","investing"
242,"좋은 사업을 이해하는 것이 좋은 주식을 이해하는 것보다 더 중요하다.","투자 격언","investing"
243,"투자는 삶과 같다. 좋은 결정을 내리는 방법을 배우는 것이다.","투자 격언","mindset"
244,"기업 분석 없이 하는 투자는 눈 감고 운전하는 것과 같다.","투자 격언","investing"
245,"확신이 없을 때는 소규모로 시작하라.","투자 격언","risk"
246,"성공과 실패 모두에서 배워라.","투자 격언","mindset"
247,"투자자는 끊임없이 배워야 한다.","투자 격언","mindset"
248,"주식 시장은 부의 이전 수단이다. 준비된 자에게로.","투자 격언","mindset"
249,"기업의 경영진을 믿을 수 없다면 투자하지 마라.","투자 격언","investing"
250,"아무도 매수하지 않을 때가 매수 기회일 수 있다.","투자 격언","investing"
251,"트레이딩은 확률 게임이다. 항상 승률을 계산하라.","트레이더 격언","trading"
252,"한 번의 큰 손실이 여러 번의 작은 수익을 날릴 수 있다.","트레이더 격언","risk"
253,"계획 없는 매매는 실패를 계획하는 것이다.","트레이더 격언","trading"
254,"좋은 트레이더는 틀렸을 때 빨리 인정한다.","트레이더 격언","trading"
255,"이익이 날 때 팔기를 두려워하지 마라.","트레이더 격언","trading"
256,"가장 힘든 결정은 손절이지만, 가장 필요한 결정도 손절이다.","트레이더 격언","trading"
257,"자신만의 매매 원칙을 만들고 지켜라.","트레이더 격언","trading"
258,"시장보다 자신의 심리를 먼저 이겨라.","트레이더 격언","mindset"
259,"최악의 트레이더는 이기고 싶어하는 트레이더다. 최고는 원칙을 따르는 트레이더다.","트레이더 격언","trading"
260,"모든 거래에서 배워라. 성공한 거래에서도, 실패한 거래에서도.","트레이더 격언","mindset"
261,"가장 좋은 거래는 아무것도 하지 않는 것일 때도 있다.","트레이더 격언","trading"
262,"리스크 대비 수익을 항상 계산하라.","트레이더 격언","risk"
263,"포지션 크기가 성공을 결정한다.","트레이더 격언","risk"
264,"자신이 이기고 있다고 느낄 때가 가장 위험한 때다.","트레이더 격언","mindset"
265,"연속으로 손실이 나면 잠깐 멈추고 생각하라.","트레이더 격언","trading"
266,"시장을 이기려 하지 말고 시장과 함께 흘러가라.","트레이더 격언","trading"
267,"수익이 손실 위에 서 있음을 절대 잊지 마라.","트레이더 격언","risk"
268,"자만심은 투자자를 망친다.","트레이더 격언","mindset"
269,"최고의 무기는 인내와 규율이다.","트레이더 격언","mindset"
270,"포지션을 갖는 것보다 갖지 않는 것이 나을 때가 있다.","트레이더 격언","trading"
271,"부자가 되는 가장 빠른 길은 천천히 가는 것이다.","투자 격언","mindset"
272,"오늘의 손실이 내일의 교훈이다.","투자 격언","mindset"
273,"주가가 반으로 떨어질 수 있다는 것을 항상 염두에 두어라.","투자 격언","risk"
274,"다른 사람이 탐욕스러울 때 조심하라.","투자 격언","mindset"
275,"시장을 예측하는 사람은 반드시 틀린다.","투자 격언","mindset"
276,"성공적인 투자는 지루하다. 흥미를 느낀다면 투기다.","투자 격언","investing"
277,"좋은 기업의 주식은 쌀 때 사야 한다.","투자 격언","value"
278,"모든 주식에는 사연이 있다. 그 사연을 이해하라.","투자 격언","investing"
279,"위기에서도 평정심을 유지하는 자가 승자다.","투자 격언","mindset"
280,"투자는 장기전이다. 단기에 일희일비하지 마라.","투자 격언","mindset"
281,"주식 시장은 생각하는 것보다 더 효율적이다.","투자 격언","mindset"
282,"가장 좋은 투자 시점은 10년 전이었다. 두 번째로 좋은 시점은 지금이다.","투자 격언","investing"
283,"지식이 투자 수익률을 결정한다.","투자 격언","mindset"
284,"남보다 먼저 기회를 발견하는 자가 더 많이 번다.","투자 격언","investing"
285,"투자에서 실패는 배움의 시작이다.","투자 격언","mindset"
286,"자신만의 투자 철학을 갖는 것이 중요하다.","투자 격언","mindset"
287,"경기 순환을 이해하면 투자가 쉬워진다.","투자 격언","investing"
288,"하락장은 주식을 세일 가격에 살 수 있는 기회다.","투자 격언","investing"
289,"기업의 이익이 증가하면 주가는 결국 오른다.","투자 격언","value"
290,"투자자의 가장 큰 자산은 시간이다.","투자 격언","mindset"
291,"불황에 투자할 배짱이 있어야 진짜 투자자다.","투자 격언","mindset"
292,"주식 투자는 기업의 공동 오너가 되는 것이다.","투자 격언","investing"
293,"매수보다 매도가 더 어렵다.","투자 격언","trading"
294,"시장 전체가 두려워할 때 욕심을 내야 한다.","투자 격언","investing"
295,"투자 목표를 명확히 하라. 그래야 방향을 잃지 않는다.","투자 격언","mindset"
296,"단기 변동성에 흔들리지 않는 것이 장기 투자의 핵심이다.","투자 격언","mindset"
297,"주식 시장에서 가장 비싼 것은 후회다.","투자 격언","mindset"
298,"좋은 투자는 남들이 팔 때 사는 것이다.","투자 격언","investing"
299,"돈을 잃지 않는 방법을 먼저 배워라. 버는 방법은 그 다음이다.","투자 격언","risk"
300,"투자에서 행운을 기대하지 마라. 원칙을 신뢰하라.","투자 격언","mindset"
